Small Unit Installation Postcode,Previous Years (2001-2021) - Installation Quantity,Previous Years (2001-2021) - SGU Rated Output In kW,Jan 2022 - Installations Quantity,Jan 2022 - SGU Rated Output In kW,Feb 2022 - Installations Quantity,Feb 2022 - SGU Rated Output In kW,Mar 2022 - Installations Quantity,Mar 2022 - SGU Rated Output In kW,Apr 2022 - Installations Quantity,Apr 2022 - SGU Rated Output In kW,May 2022 - Installations Quantity,May 2022 - SGU Rated Output In kW,Jun 2022 - Installations Quantity,Jun 2022 - SGU Rated Output In kW,Jul 2022 - Installations Quantity,Jul 2022 - SGU Rated Output In kW,Aug 2022 - Installations Quantity,Aug 2022 - SGU Rated Output In kW,Sep 2022 - Installations Quantity,Sep 2022 - SGU Rated Output In kW,Oct 2022 - Installations Quantity,Oct 2022 - SGU Rated Output In kW,Nov 2022 - Installations Quantity,Nov 2022 - SGU Rated Output In kW,Dec 2022 - Installations Quantity,Dec 2022 - SGU Rated Output In kW,Jan 2023 - Installations Quantity,Jan 2023 - SGU Rated Output In kW,Feb 2023 - Installations Quantity,Feb 2023 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
2745,3692,23060.473,22,198.42,35,431.23,24,234.27,18,189.98,41,375.695,36,366.97,47,482.985,50,487.875,35,377.26,44,480.405,40,492.315,49,509.79,36,376.335,23,215.725,4192,28279.728
2747,5461,31915.634,53,402.82,69,436.64,45,393.88,48,430.475,40,374.52,67,576.295,51,414.62,61,498.9,52,493.345,41,347.085,84,743.96,77,769.8,29,336.97,31,287.93,6209,38422.874
2748,246,2437.75,0,0,1,13.32,2,16.03,2,19.72,1,13.32,3,23.28,2,15.54,1,13.32,0,0,1,15.6,2,35.41,5,68.95,1,6.8,2,40.375,269,2719.415
2749,1810,11055.948,8,94.03,22,209.7,7,49.45,9,113.91,21,211.47,18,162.67,21,183.59,22,174.27,15,134.715,12,117.94,22,240.565,21,190.395,9,69.225,12,102.105,2029,13109.983
2750,4115,24593.943,27,214.145,41,483.79,25,302.715,26,366.745,52,532.83,53,481.785,31,254.57,48,416.095,43,374.93,45,720.32,49,598.42,49,822.45,35,314.04,21,165.845,4660,30642.623
2751,8,37.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,37.747
2752,711,4524.906,8,78.875,10,78.915,3,30.71,13,114.52,17,140.93,19,235.135,10,90.91,11,104.85,17,131.7,25,226.245,17,199.095,10,113.595,8,75.03,11,106.96,890,6252.376
2753,1627,11001.91,5,119.06,14,197.53,8,71.28,9,94.94,16,144.8,19,215.655,17,166.49,16,184.93,26,421.55,17,213.325,17,186.135,18,206.125,13,124.865,14,158.37,1836,13506.965
2754,811,5178.443,7,59.78,19,176.785,16,91.25,10,77.97,8,86.95,15,130.225,14,137.88,16,132.325,12,91.18,19,155.575,10,51.8,19,162.505,4,30.38,6,55.065,986,6618.113
2756,3607,27890.139,19,184.1,34,438.515,22,264.43,22,250.34,25,323.03,38,431.805,40,436.225,52,580.625,45,473.205,25,365.16,45,532.265,49,903.06,21,183.715,27,296.315,4071,33552.929
2757,94,807.605,0,0,1,13.32,1,13.2,1,10.73,0,0,2,42.14,1,13.2,0,0,0,0,0,0,2,30.04,2,11.82,0,0,1,9.46,105,951.515
