YEAR,MONTH,DAY,HUMIDITY,WINDSPEED,DATE,TOTALDEMAND,HOLIDAY,MIN,MAX,SOLAR,TEMPAVE,RRP,FORECASTDEMAND,OUTPUT,MONTHDATE,WEEKDAY,WEEKEND
2021,9,9,0.6182978723404258,15.97872340425532,2021-09-09,7036.293368055558,0.0,6.1,27.6,18.3,16.85,30.382708333333326,7128.621197447446,233.595,09-2021,3,0
2021,9,10,0.44410256410256427,17.384615384615383,2021-09-10,6801.20291666667,0.0,10.4,25.3,17.9,17.85,36.28666666666666,6942.172755255255,233.595,09-2021,4,0
2021,9,11,0.5404444444444442,17.355555555555554,2021-09-11,6327.748576388891,0.0,9.3,29.8,19.1,19.55,19.695833333333333,6509.609373123129,233.595,09-2021,5,1
2021,9,12,0.5112500000000001,15.55,2021-09-12,6263.8942708333325,0.0,9.7,30.3,19.1,20.0,18.55777777777778,6380.378138138145,233.595,09-2021,6,1
2021,9,13,0.31675675675675663,22.81081081081081,2021-09-13,7358.482430555557,0.0,10.7,17.9,10.4,14.299999999999999,54.83617021276595,7282.446936936935,233.595,09-2021,0,0
2021,9,14,0.6375510204081635,27.93877551020408,2021-09-14,7827.817951388894,0.0,8.8,17.1,15.3,12.950000000000001,65.09021739130436,7922.013517267247,233.595,09-2021,1,0
2021,9,15,0.8377551020408158,35.87755102040816,2021-09-15,7607.430347222222,0.0,5.2,19.4,18.9,12.299999999999999,52.009347826086966,7842.654376876855,233.595,09-2021,2,0
2021,9,16,0.741590909090909,28.863636363636363,2021-09-16,7555.26045138889,0.0,6.5,18.5,18.0,12.5,55.6360465116279,7604.370555555555,233.595,09-2021,3,0
2021,9,17,0.7568888888888888,18.266666666666666,2021-09-17,7056.974444444448,0.0,6.7,22.6,20.3,14.65,53.42065217391304,7095.714395645652,233.595,09-2021,4,0
2021,9,18,0.6717021276595748,21.02127659574468,2021-09-18,6833.192777777778,0.0,11.4,24.5,9.4,17.95,52.85166666666667,6659.308817567554,233.595,09-2021,5,1
2021,9,19,0.5481395348837211,20.232558139534884,2021-09-19,6264.229027777785,0.0,5.7,23.9,20.6,14.799999999999999,25.737916666666663,6294.798018018013,233.595,09-2021,6,1
2021,9,20,0.3769565217391306,20.065217391304348,2021-09-20,6847.651874999998,0.0,7.3,26.8,20.7,17.05,45.090666666666664,6759.324695945955,233.595,09-2021,0,0
2021,9,21,0.3574418604651165,26.627906976744185,2021-09-21,7490.594270833335,0.0,9.1,18.3,17.8,13.7,63.914347826086974,7596.543975225218,233.595,09-2021,1,0
2021,9,22,0.577872340425532,35.08510638297872,2021-09-22,7216.0868402777805,0.0,6.1,20.1,19.9,13.100000000000001,55.60000000000001,7384.191400150147,233.595,09-2021,2,0
2021,9,23,0.679761904761905,19.5,2021-09-23,7022.72961805556,0.0,6.5,27.6,21.4,17.05,48.998333333333335,7056.494414414412,233.595,09-2021,3,0
